2015-05-15 15:40:41 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:40:43 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:40:46 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:40:47 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:40:49 Debug: Here: /eval/, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:40:55 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 15:40:56 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 15:41:00 Debug: Here: /eval/questions/add_newsoal/1/1, coming from: /quizzs/banksoal/1/1
2015-05-15 15:41:01 Debug: Here: /eval/questions/add_newsoal/favicon.ico, coming from: /questions/add_newsoal/1/1
2015-05-15 15:41:19 Debug: Here: /eval/questions/add_newsoal/1/1, coming from: /quizzs/banksoal/1/1
2015-05-15 15:41:21 Debug: Here: /eval/questions/add_newsoal/favicon.ico, coming from: /questions/add_newsoal/1/1
2015-05-15 15:42:02 Debug: Here: /eval/questions/add_newsoal/1/1, coming from: /quizzs/banksoal/1/1
2015-05-15 15:42:03 Debug: Here: /eval/questions/add_newsoal/favicon.ico, coming from: /questions/add_newsoal/1/1
2015-05-15 15:42:17 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:42:56 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:43:11 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:44:08 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:44:22 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:46:01 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:46:13 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:46:27 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:46:52 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:47:18 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:47:44 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 15:48:05 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:48:05 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:53:54 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:53:55 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:54:00 Debug: Here: /eval/, coming from: /quizzs/add_new/1/1/1
2015-05-15 15:54:25 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 15:54:25 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:55:26 Debug: Here: /eval/, coming from: /quizzs/viewnew/1/1/1
2015-05-15 15:55:32 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 15:55:33 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:02:15 Debug: Here: /eval/questions/edit/258, coming from: /quizzs/banksoal/1/1
2015-05-15 16:02:22 Debug: Here: /eval/, coming from: /questions/edit/258
2015-05-15 16:02:39 Debug: Here: /eval/quizzs/viewnew/3/1/1, coming from: /
2015-05-15 16:02:40 Debug: Here: /eval/quizzs/viewnew/3/favicon.ico, coming from: /quizzs/viewnew/3/1/1
2015-05-15 16:02:41 Debug: Here: /eval/, coming from: /quizzs/viewnew/3/1/1
2015-05-15 16:02:48 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:02:49 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:02:53 Debug: Here: /eval/questions/add_newsoal/1/1, coming from: /quizzs/banksoal/1/1
2015-05-15 16:02:53 Debug: Here: /eval/questions/add_newsoal/favicon.ico, coming from: /questions/add_newsoal/1/1
2015-05-15 16:03:44 Debug: Here: /eval/questions/add_newsoal/1/1, coming from: /quizzs/banksoal/1/1
2015-05-15 16:03:44 Debug: Here: /eval/questions/add_newsoal/favicon.ico, coming from: /questions/add_newsoal/1/1
2015-05-15 16:03:56 Debug: Here: /eval/questions/add_newsoal/1/1, coming from: /quizzs/banksoal/1/1
2015-05-15 16:03:57 Debug: Here: /eval/questions/add_newsoal/favicon.ico, coming from: /questions/add_newsoal/1/1
2015-05-15 16:04:14 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 16:05:13 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 16:05:27 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 16:05:35 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 16:06:35 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 16:18:20 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 16:18:26 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /
2015-05-15 16:19:11 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /quizzs/viewnew/1/1/1
2015-05-15 16:19:42 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 16:20:03 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 16:21:08 Debug: Here: /eval/quizzs/add_new/1/1/1, coming from: /
2015-05-15 16:21:09 Debug: Here: /eval/quizzs/add_new/1/favicon.ico, coming from: /quizzs/add_new/1/1/1
2015-05-15 16:24:33 Debug: Here: /eval/, coming from: /quizzs/add_new/1/1/1
2015-05-15 16:26:51 Debug: Here: /eval/quizzs/viewnew/3/3/6, coming from: /
2015-05-15 16:26:52 Debug: Here: /eval/quizzs/viewnew/3/favicon.ico, coming from: /quizzs/viewnew/3/3/6
2015-05-15 16:27:26 Debug: Here: /eval/quizzs/add_new/3/3/6, coming from: /quizzs/viewnew/3/3/6
2015-05-15 16:27:27 Debug: Here: /eval/quizzs/add_new/3/favicon.ico, coming from: /quizzs/add_new/3/3/6
2015-05-15 16:29:37 Debug: Here: /eval/, coming from: /quizzs/add_new/3/3/6
2015-05-15 16:29:44 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:29:45 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:30:43 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:30:44 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:31:31 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:31:32 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:31:41 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:31:42 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:32:35 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:32:35 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:32:39 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:32:39 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:33:03 Debug: Here: /eval/questions/add_newsoal/1/1, coming from: /quizzs/banksoal/1/1
2015-05-15 16:33:04 Debug: Here: /eval/questions/add_newsoal/favicon.ico, coming from: /questions/add_newsoal/1/1
2015-05-15 16:33:16 Debug: Here: /eval/, coming from: /questions/add_newsoal/1/1
2015-05-15 16:33:23 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:33:23 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:35:03 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:35:05 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:35:17 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:35:20 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:37:21 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:37:21 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:37:43 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:37:44 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:38:07 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:38:07 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:38:24 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:38:24 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:38:31 Debug: Here: /eval/quizzs/banksoal/1/1, coming from: /
2015-05-15 16:38:32 Debug: Here: /eval/quizzs/banksoal/favicon.ico, coming from: /quizzs/banksoal/1/1
2015-05-15 16:38:37 Debug: Here: /eval/, coming from: /quizzs/banksoal/1/1
2015-05-15 16:38:43 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 16:38:44 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 16:39:29 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
2015-05-15 16:39:30 Debug: Here: /eval/quizzs/viewnew/1/favicon.ico, coming from: /quizzs/viewnew/1/1/1
2015-05-15 16:39:57 Debug: Here: /eval/quizzs/viewnew/1/1/1, coming from: /
